City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,hami,42.8,93.45,10.1,24,9,5.98,CN,1681348365
176,lumut,4.2323,100.6298,28.01,83,20,1.54,MY,1681348781
177,jacqueville,5.2052,-4.4146,27.48,84,13,4.68,CI,1681348781
178,ambulu,-8.345,113.6058,25.99,88,100,0.47,ID,1681348400
179,qaanaaq,77.484,-69.3632,-18.02,67,0,1.02,GL,1681348319
180,medicine hat,50.0501,-110.6683,7.07,56,75,3.09,CA,1681348782
181,yeniseysk,58.4497,92.1703,-1.74,91,100,5.55,RU,1681348782
182,saint-augustin,51.226,-58.6502,1.15,96,100,0.86,CA,1681348390
183,brigantine,39.4101,-74.3646,24.11,47,0,3.09,US,1681348782
184,nenjiang,49.1833,125.2167,4.41,48,8,5.7,CN,1681348782
185,ucluelet,48.9329,-125.5528,9.49,78,46,2.24,CA,1681348343
186,tansen,27.8673,83.5467,18.02,23,0,2.42,NP,1681348783
187,pochutla,15.7432,-96.4661,26.57,68,43,1.53,MX,1681348291
188,saint-pierre,-21.3393,55.4781,24.82,73,75,2.57,RE,1681348783
189,hofn,64.2539,-15.2082,3.04,70,91,5.68,IS,1681348387
190,lima,-12.0432,-77.0282,25.5,76,75,6.17,PE,1681348625
191,maniitsoq,65.4167,-52.9,-2.96,81,16,2.87,GL,1681348692
192,juye,35.3947,116.0883,18.06,49,23,4.04,CN,1681348783
193,puerto del rosario,28.5004,-13.8627,18.86,82,0,8.23,ES,1681348783
194,iwanai,42.9744,140.5089,7.59,53,0,6.77,JP,1681348783
195,male,4.1748,73.5089,27.97,89,40,4.12,MV,1681348783
196,sao joao da barra,-21.6403,-41.0511,24.36,84,100,3.96,BR,1681348336
197,sao filipe,14.8961,-24.4956,22.56,75,90,1.74,CV,1681348312
198,kudahuvadhoo,2.6708,72.8944,27.94,75,41,2.77,MV,1681348783
199,kelowna,49.8831,-119.4857,9.69,69,99,2.01,CA,1681348487
200,marrakesh,31.6315,-8.0083,17.04,63,0,1.54,MA,1681348768
201,sacramento,38.4666,-121.3177,19.07,43,40,4.12,US,1681348751
202,kandalaksha,67.162,32.4123,-16.21,98,57,0.82,RU,1681348784
203,russell,32.3502,-85.1999,20.78,50,100,2.47,US,1681348350
204,tecoanapa,16.5167,-98.75,27.73,66,82,2.49,MX,1681348784
205,ilheus,-14.7889,-39.0494,23.76,91,24,1.69,BR,1681348370
206,mata grande,-9.1175,-37.7322,20.53,75,100,3.25,BR,1681348784
207,comodoro rivadavia,-45.8667,-67.5,0.92,51,0,2.06,AR,1681348739
208,gimbi,9.1667,35.8333,18.26,57,100,0.99,ET,1681348784
209,babushkin,51.7122,105.8647,-3.74,80,100,6.03,RU,1681348785
210,merritt island,28.5392,-80.672,23.38,81,100,6.17,US,1681348785
211,kieta,-6.2167,155.6333,28.18,77,76,1.35,PG,1681348785
212,mnogovershinnyy,53.9353,139.9242,-5.14,93,100,8.6,RU,1681348785
213,tabory,58.5198,64.5495,1.51,90,100,3.45,RU,1681348785
214,iracoubo,5.4802,-53.2011,25.77,86,100,3.81,GF,1681348785
215,hiroshima,34.3963,132.4594,17.02,36,0,0.77,JP,1681348785
216,los llanos de aridane,28.6585,-17.9182,16.86,77,20,4.12,ES,1681348785
217,khurda,20.1833,85.6167,26.95,49,0,1.61,IN,1681348785
218,ayia marina,37.75,23.5333,14.21,71,0,3.64,GR,1681348785
219,severnyy,50.677,36.5532,10.02,71,0,5.0,RU,1681348785
220,mar del plata,-38.0023,-57.5575,11.16,90,40,3.6,AR,1681348315
221,rosarito,32.3333,-117.0333,14.26,84,100,3.44,MX,1681348745
222,boende,-0.2167,20.8667,21.4,89,100,0.05,CD,1681348318
223,beirut,33.8889,35.4944,15.41,63,75,7.72,LB,1681348398
224,new norfolk,-42.7826,147.0587,17.18,65,67,0.45,AU,1681348316
225,aquiraz,-3.9014,-38.3911,27.88,75,75,2.58,BR,1681348786
226,troitskiy,57.0603,63.7481,2.26,86,8,2.62,RU,1681348786
227,ketchikan,55.3422,-131.6461,3.26,93,100,5.14,US,1681348405
228,nago,26.5881,127.9761,24.47,73,23,6.3,JP,1681348786
229,belmonte,-15.8631,-38.8828,24.47,88,19,1.79,BR,1681348409
230,port-gentil,-0.7193,8.7815,27.3,79,98,3.28,GA,1681348786
231,sorland,67.667,12.6934,6.92,81,100,8.19,NO,1681348307
232,chabahar,25.2919,60.643,25.2,76,0,1.11,IR,1681348786
233,winnemucca,40.973,-117.7357,12.03,28,0,9.26,US,1681348757
234,norsup,-16.0667,167.3833,29.69,69,78,3.62,VU,1681348786
235,elliot,-31.3333,27.85,11.51,30,100,1.67,ZA,1681348786
236,tabuk,17.4189,121.4443,27.07,81,100,1.92,PH,1681348786
237,jalu,29.0331,21.5482,14.94,38,0,1.72,LY,1681348787
238,nyurba,63.2842,118.3319,-3.14,90,97,3.43,RU,1681348342
239,sitka,57.0531,-135.33,4.94,75,100,6.17,US,1681348327
240,fuerte olimpo,-21.0415,-57.8738,26.48,71,64,2.17,PY,1681348787
241,taltal,-25.4,-70.4833,19.26,79,8,1.17,CL,1681348368
242,wexford,52.3342,-6.4575,6.05,85,43,4.92,IE,1681348490
243,kavieng,-2.5744,150.7967,28.07,73,98,3.55,PG,1681348354
244,kurumkan,54.3,110.3,-0.58,63,100,0.76,RU,1681348787
245,clyde river,70.4692,-68.5914,-20.54,92,60,3.34,CA,1681348300
246,samarai,-10.6167,150.6667,28.66,76,76,3.11,PG,1681348787
247,kiama,-34.6833,150.8667,20.56,88,96,0.89,AU,1681348787
248,aklavik,68.2191,-135.0107,-15.92,70,100,3.5,CA,1681348787
249,coos bay,43.3665,-124.2179,11.29,66,0,4.12,US,1681348519
250,mehamn,71.0357,27.8492,-2.05,79,12,5.28,NO,1681348312
251,san cristobal,7.7669,-72.225,24.1,94,100,1.27,VE,1681348788
252,tam ky,15.5667,108.4833,28.28,74,97,0.93,VN,1681348788
253,qaqortoq,60.7167,-46.0333,-0.44,82,100,2.0,GL,1681348347
254,palmas,-10.2128,-48.3603,25.93,89,20,1.03,BR,1681348788
255,nikolskoye,59.7035,30.7861,5.94,82,98,3.99,RU,1681348311
256,muli,2.9167,73.5667,28.27,75,16,3.85,MV,1681348388
257,severo-kurilsk,50.6789,156.125,0.02,97,100,11.59,RU,1681348788
258,basco,20.4487,121.9702,25.75,85,98,9.83,PH,1681348788
259,ponta do sol,32.6667,-17.1,17.62,73,9,3.33,PT,1681348307
260,tutoia,-2.7619,-42.2744,26.17,82,87,3.14,BR,1681348331
261,rock sound,24.9,-76.2,24.05,84,100,10.32,BS,1681348788
262,shu,43.5983,73.7614,9.69,53,63,1.9,KZ,1681348292
263,padang,-0.9492,100.3543,25.03,79,100,0.84,ID,1681348788
264,gagret,31.6667,76.0667,21.34,31,0,1.93,IN,1681348788
265,yaan,7.3833,8.5667,27.14,70,1,3.43,NG,1681348788
266,bubaque,11.2833,-15.8333,24.89,76,96,5.74,GW,1681348313
267,banting,2.8167,101.5,29.07,85,8,1.5,MY,1681348789
268,antsohihy,-14.8796,47.9875,21.71,98,58,1.0,MG,1681348789
269,polessk,54.862,21.1028,4.03,89,24,2.99,RU,1681348789
270,airai,-8.9266,125.4092,22.25,68,21,0.42,TL,1681348348
271,sibu,2.3,111.8167,28.17,83,40,0.0,MY,1681348789
272,ngama,11.7833,17.1667,26.81,16,10,5.46,TD,1681348789
273,jeremoabo,-10.075,-38.4808,20.78,93,84,2.07,BR,1681348699
274,nkhotakota,-12.9274,34.2961,22.65,89,100,3.5,MW,1681348790
275,aksu,41.1231,80.2644,10.6,33,3,1.61,CN,1681348790
276,narsaq,60.9167,-46.05,1.12,81,100,1.77,GL,1681348315
277,saint-joseph,-21.3667,55.6167,23.21,83,20,0.54,RE,1681348363
278,alice springs,-23.7,133.8833,24.75,36,100,4.63,AU,1681348301
279,ancud,-41.8697,-73.8203,10.61,80,100,2.17,CL,1681348359
280,whangamata,-37.2,175.8667,19.91,69,33,2.02,NZ,1681348790
281,joensuu,62.6012,29.7632,-1.73,68,0,4.02,FI,1681348790
282,evreux,49.0241,1.1508,8.51,81,100,6.17,FR,1681348790
283,vila velha,-20.3297,-40.2925,23.86,93,20,0.0,BR,1681348791
284,klaksvik,62.2266,-6.589,7.51,86,100,9.56,FO,1681348308
285,alora,36.8236,-4.7058,17.69,77,100,3.14,ES,1681348791
286,mokhsogollokh,61.4681,128.9203,-2.09,92,100,1.23,RU,1681348791
287,kodinsk,58.6881,99.1844,-4.71,83,99,4.66,RU,1681348791
288,usevya,-7.1,31.2333,18.21,96,100,1.25,TZ,1681348791
289,dudinka,69.4058,86.1778,-24.57,95,100,4.46,RU,1681348791
290,itoman,26.1247,127.6694,25.01,70,75,8.23,JP,1681348791
291,ostrovnoy,68.0531,39.5131,-10.25,93,100,2.88,RU,1681348330
292,san angelo,31.4638,-100.437,26.12,31,0,4.12,US,1681348791
293,roswell,34.0232,-84.3616,19.93,44,0,2.57,US,1681348791
294,yerbogachen,61.2767,108.0108,-9.57,86,100,2.86,RU,1681348346
295,egvekinot,66.3167,-179.1667,-15.87,74,100,1.4,RU,1681348351
296,yar-sale,66.8333,70.8333,-21.4,93,72,6.77,RU,1681348301
297,liwale,-9.7667,37.9333,20.04,99,84,0.54,TZ,1681348792
298,benguela,-12.5763,13.4055,25.87,85,100,1.27,AO,1681348792
299,geraldton,-28.7667,114.6,18.23,82,40,5.14,AU,1681348305
300,saveh,35.0213,50.3566,18.98,56,100,3.52,IR,1681348792
301,lincoln,40.8,-96.667,26.11,34,0,8.75,US,1681348522
302,bage,-31.3314,-54.1069,17.19,95,28,4.52,BR,1681348792
303,saint anthony,45.0205,-93.218,26.96,47,0,3.09,US,1681348333
304,beni suef,29.0731,31.0979,13.42,61,0,1.14,EG,1681348792
305,abu samrah,35.3029,37.1841,9.62,85,35,8.1,SY,1681348792
306,dakar,14.6937,-17.4441,22.49,85,43,6.58,SN,1681348283
307,salalah,17.0151,54.0924,27.05,78,40,1.54,OM,1681348016
308,kuching,1.55,110.3333,29.56,75,20,2.24,MY,1681348520
309,fairbanks,64.8378,-147.7164,-3.55,74,100,5.14,US,1681348014
310,neuquen,-38.9516,-68.0591,7.94,87,0,0.0,AR,1681348492
311,chicama,-7.8447,-79.1469,26.3,73,86,2.18,PE,1681348793
312,caldas novas,-17.7417,-48.625,20.24,91,59,0.93,BR,1681348793
313,tara,56.8944,74.371,0.51,83,42,3.53,RU,1681348793
314,stornoway,58.2093,-6.3865,5.98,80,100,6.17,GB,1681348635
315,sosnogorsk,63.6023,53.8817,-17.54,79,0,4.9,RU,1681348793
316,katsuura,35.1333,140.3,15.0,50,57,5.26,JP,1681348299
317,pangai,-19.8,-174.35,30.06,74,40,4.63,TO,1681348793
318,sosnovo-ozerskoye,52.5249,111.5418,-1.14,65,100,2.31,RU,1681348392
319,manado,1.487,124.8455,32.43,62,20,1.03,ID,1681348793
320,boueni,-12.9025,45.0761,25.99,70,64,0.75,YT,1681348326
321,udachnyy,66.4167,112.4,-10.86,51,10,3.81,RU,1681348793
322,meshcherino,55.1957,38.36,5.9,66,100,3.46,RU,1681348793
323,guerrero negro,27.9769,-114.0611,15.5,75,100,8.31,MX,1681348276
324,sulphur,30.2366,-93.3774,19.98,64,100,4.63,US,1681348793
325,bambous virieux,-20.3428,57.7575,24.01,85,9,1.95,MU,1681348275
326,mount gambier,-37.8333,140.7667,19.14,72,28,2.35,AU,1681348364
